"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"d2.c1","d2.c1",0.373725613315361,100,84,"red","Spring","C10","1","null","H1.sim.null"
"c3.c3","c3.c3",0.402845408254478,99.63,83,"pink","Spring","C10","1","null","H1.sim.null"
"b1.b1","b1.b1",0.40340071433851,99.22,82,"pink","Spring","C10","1","null","H1.sim.null"
"c1.d2","c1.d2",0.425556855444854,98.82,81,"pink","Spring","C10","1","null","H1.sim.null"
"b3.e3","b3.e3",0.426488298677036,98.39,80,"green","Spring","C10","1","null","H1.sim.null"
"NCCspr.NCCspr","NCCspr.NCCspr",0.431252947034616,97.97,79,"pink","Spring","C10","1","null","H1.sim.null"
"a3.b3","a3.b3",0.445837088956722,97.54,78,"black","Spring","C10","1","null","H1.sim.null"
"d2.f2","d2.f2",0.449455428643324,97.09,77,"red","Spring","C10","1","null","H1.sim.null"
"c1.b2","c1.b2",0.455611205655019,96.64,76,"pink","Spring","C10","1","null","H1.sim.null"
"c1.f2","c1.f2",0.461104337255953,96.19,75,"pink","Spring","C10","1","null","H1.sim.null"
"c1.f1","c1.f1",0.463240526126708,95.72,74,"pink","Spring","C10","1","null","H1.sim.null"
"c3.b3","c3.b3",0.474581242744291,95.26,73,"pink","Spring","C10","1","null","H1.sim.null"
"b2.c3","b2.c3",0.503025272413608,94.79,72,"pink","Spring","C10","1","null","H1.sim.null"
"d2.f3","d2.f3",0.522706746986034,94.28,71,"red","Spring","C10","1","null","H1.sim.null"
"g1.d2","g1.d2",0.529366650408237,93.76,70,"red","Spring","C10","1","null","H1.sim.null"
"a3.a3","a3.a3",0.531873483602257,93.23,69,"black","Spring","C10","1","null","H1.sim.null"
"c1.b3","c1.b3",0.548391618868319,92.7,68,"pink","Spring","C10","1","null","H1.sim.null"
"NCCfall.g3","NCCfall.g3",0.555801380201861,92.15,67,"pink","Spring","C10","1","null","H1.sim.null"
"d2.c3","d2.c3",0.561816445463752,91.6,66,"red","Spring","C10","1","null","H1.sim.null"
"d1.f1","d1.f1",0.563629874503727,91.03,65,"red","Spring","C10","1","null","H1.sim.null"
"NCCspr.g1","NCCspr.g1",0.567185123321189,90.47,64,"pink","Spring","C10","1","null","H1.sim.null"
"b2.b3","b2.b3",0.571649429925846,89.9,63,"pink","Spring","C10","1","null","H1.sim.null"
"c1.d1","c1.d1",0.5728040100752,89.33,62,"pink","Spring","C10","1","null","H1.sim.null"
"d2.g3","d2.g3",0.573620695011707,88.76,61,"red","Spring","C10","1","null","H1.sim.null"
"d3.b1","d3.b1",0.574576467246242,88.19,60,"red","Spring","C10","1","null","H1.sim.null"
"b3.b3","b3.b3",0.575101832776473,87.61,59,"pink","Spring","C10","1","null","H1.sim.null"
"b3.c2","b3.c2",0.603875733931384,87.04,58,"pink","Spring","C10","1","null","H1.sim.null"
"d1.f2","d1.f2",0.615766470412122,86.43,57,"red","Spring","C10","1","null","H1.sim.null"
"d2.d2","d2.d2",0.624710332738616,85.82,56,"red","Spring","C10","1","null","H1.sim.null"
"NCCfall.NCCfall","NCCfall.NCCfall",0.645103150850327,85.19,55,"pink","Spring","C10","1","null","H1.sim.null"
"e1.f1","e1.f1",0.654649767857811,84.55,54,"green","Spring","C10","1","null","H1.sim.null"
"e3.e3","e3.e3",0.659367537881204,83.89,53,"green","Spring","C10","1","null","H1.sim.null"
"c1.c1","c1.c1",0.659812234848568,83.23,52,"pink","Spring","C10","1","null","H1.sim.null"
"g3.g3","g3.g3",0.663271690246834,82.57,51,"green","Spring","C10","1","null","H1.sim.null"
"c1.d3","c1.d3",0.673370864549694,81.91,50,"pink","Spring","C10","1","null","H1.sim.null"
"e3.f3","e3.f3",0.686808933338625,81.24,49,"green","Spring","C10","1","null","H1.sim.null"
"d4.d4","d4.d4",0.688905363490758,80.55,48,"red","Spring","C10","1","null","H1.sim.null"
"g1.d4","g1.d4",0.691995387368153,79.86,47,"red","Spring","C10","1","null","H1.sim.null"
"a1.b1","a1.b1",0.700865480723142,79.17,46,"black","Spring","C10","1","null","H1.sim.null"
"d1.f3","d1.f3",0.708829768802569,78.47,45,"red","Spring","C10","1","null","H1.sim.null"
"d1.c1","d1.c1",0.726560307546561,77.76,44,"red","Spring","C10","1","null","H1.sim.null"
"b2.c1","b2.c1",0.726828820564442,77.03,43,"pink","Spring","C10","1","null","H1.sim.null"
"g3.d4","g3.d4",0.736038030656691,76.3,42,"red","Spring","C10","1","null","H1.sim.null"
"c3.b1","c3.b1",0.75373299032796,75.57,41,"pink","Spring","C10","1","null","H1.sim.null"
"d1.d1","d1.d1",0.763706488912464,74.81,40,"red","Spring","C10","1","null","H1.sim.null"
"c2.b2","c2.b2",0.781873251769665,74.05,39,"pink","Spring","C10","1","null","H1.sim.null"
"d2.g1","d2.g1",0.782696684505204,73.27,38,"red","Spring","C10","1","null","H1.sim.null"
"c2.b3","c2.b3",0.787990710774547,72.49,37,"pink","Spring","C10","1","null","H1.sim.null"
"c3.f3","c3.f3",0.800996543572358,71.7,36,"pink","Spring","C10","1","null","H1.sim.null"
"d4.g3","d4.g3",0.802358003154061,70.9,35,"red","Spring","C10","1","null","H1.sim.null"
"d3.c3","d3.c3",0.835888111032354,70.1,34,"red","Spring","C10","1","null","H1.sim.null"
"c3.d2","c3.d2",0.83607231182439,69.26,33,"pink","Spring","C10","1","null","H1.sim.null"
"c3.d3","c3.d3",0.877952294328118,68.42,32,"pink","Spring","C10","1","null","H1.sim.null"
"b1.c3","b1.c3",0.934144746658546,67.55,31,"pink","Spring","C10","1","null","H1.sim.null"
"b2.b1","b2.b1",0.939839410705275,66.61,30,"pink","Spring","C10","1","null","H1.sim.null"
"b1.d3","b1.d3",0.980759082018543,65.67,29,"pink","Spring","C10","1","null","H1.sim.null"
"e1.e1","e1.e1",0.998388244002441,64.69,28,"green","Spring","C10","1","null","H1.sim.null"
"f1.g3","f1.g3",1.00445769720256,63.69,27,"green","Spring","C10","1","null","H1.sim.null"
"b3.c3","b3.c3",1.00768841973419,62.69,26,"pink","Spring","C10","1","null","H1.sim.null"
"g3.d2","g3.d2",1.06735060258099,61.68,25,"red","Spring","C10","1","null","H1.sim.null"
"c2.c2","c2.c2",1.0788155959689,60.61,24,"pink","Spring","C10","1","null","H1.sim.null"
"d2.f1","d2.f1",1.08495431821294,59.53,23,"red","Spring","C10","1","null","H1.sim.null"
"b1.e1","b1.e1",1.10763420798308,58.45,22,"green","Spring","C10","1","null","H1.sim.null"
"c3.b2","c3.b2",1.12722489001931,57.34,21,"pink","Spring","C10","1","null","H1.sim.null"
"b2.b2","b2.b2",1.18451848743497,56.21,20,"pink","Spring","C10","1","null","H1.sim.null"
"d3.c1","d3.c1",1.24360312537648,55.03,19,"red","Spring","C10","1","null","H1.sim.null"
"d4.g1","d4.g1",1.45229231123215,53.79,18,"red","Spring","C10","1","null","H1.sim.null"
"g1.g1","g1.g1",1.46907561699975,52.33,17,"green","Spring","C10","1","null","H1.sim.null"
"f2.g3","f2.g3",1.54876390344709,50.86,16,"green","Spring","C10","1","null","H1.sim.null"
"b2.c2","b2.c2",1.6248408965169,49.32,15,"pink","Spring","C10","1","null","H1.sim.null"
"d3.f3","d3.f3",1.99571280587656,47.69,14,"red","Spring","C10","1","null","H1.sim.null"
"f2.f2","f2.f2",2.01189521455174,45.7,13,"green","Spring","C10","1","null","H1.sim.null"
"f3.f3","f3.f3",2.39478712586538,43.68,12,"green","Spring","C10","1","null","H1.sim.null"
"d3.d3","d3.d3",2.55721420264419,41.29,11,"red","Spring","C10","1","null","H1.sim.null"
"a1.a1","a1.a1",2.81340083346581,38.73,10,"black","Spring","C10","1","null","H1.sim.null"
"f3.g3","f3.g3",2.82806726273695,35.92,9,"green","Spring","C10","1","null","H1.sim.null"
"d3.f2","d3.f2",3.43521070337869,33.09,8,"red","Spring","C10","1","null","H1.sim.null"
"f1.g1","f1.g1",3.52201729937469,29.65,7,"green","Spring","C10","1","null","H1.sim.null"
"e2.f2","e2.f2",3.6618605573255,26.13,6,"green","Spring","C10","1","null","H1.sim.null"
"a1.b2","a1.b2",3.7128526780652,22.47,5,"black","Spring","C10","1","null","H1.sim.null"
"f1.f1","f1.f1",3.81900662157728,18.76,4,"green","Spring","C10","1","null","H1.sim.null"
"b2.e2","b2.e2",3.9668948469035,14.94,3,"green","Spring","C10","1","null","H1.sim.null"
"d3.f1","d3.f1",4.10198003513165,10.97,2,"red","Spring","C10","1","null","H1.sim.null"
"e2.e2","e2.e2",6.8700722937488,6.87,1,"green","Spring","C10","1","null","H1.sim.null"
"d2.g33","d2.g3",0.265498489620892,100,80,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"g3.g33","g3.g3",0.275920652257726,99.73,79,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f23","d2.f2",0.276746570414109,99.46,78,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f23","d3.f2",0.282923181809864,99.18,77,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f33","d3.f3",0.296505010432771,98.9,76,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f33","d1.f3",0.316626916272697,98.6,75,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.d43","d4.d4",0.324554722023651,98.29,74,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f23","d1.f2",0.330877176972097,97.96,73,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.f33","c3.f3",0.331763134884102,97.63,72,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a3.b33","a3.b3",0.332066566136561,97.3,71,"black","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e3.e33","e3.e3",0.333125871360146,96.97,70,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.g13","d4.g1",0.34183486520855,96.63,69,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.g33","f1.g3",0.346024568862916,96.29,68,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a3.a33","a3.a3",0.353572494864464,95.95,67,"black","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f3.f33","f3.f3",0.35964010995597,95.59,66,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.e33","b3.e3",0.364903645759495,95.23,65,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e2.e23","e2.e2",0.366426351623287,94.87,64,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCfall.NCCfall3","NCCfall.NCCfall",0.369418614237359,94.5,63,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.b23","c1.b2",0.372643250941861,94.13,62,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f2.f23","f2.f2",0.381825858412003,93.76,61,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b33","c3.b3",0.382170499864485,93.38,60,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f2.g33","f2.g3",0.382231902218588,92.99,59,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.f23","c1.f2",0.391907320335737,92.61,58,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f3.g33","f3.g3",0.393968525114866,92.22,57,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.e23","b2.e2",0.396163568758075,91.83,56,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.c13","c1.c1",0.396204534126958,91.43,55,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d33","c1.d3",0.39909116346454,91.03,54,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCfall.g33","NCCfall.g3",0.404249616441418,90.64,53,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCspr.g13","NCCspr.g1",0.407934532638413,90.23,52,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.b33","c1.b3",0.409484908162989,89.82,51,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f33","d2.f3",0.427099516901559,89.41,50,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e3.f33","e3.f3",0.432180854828584,88.99,49,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCspr.NCCspr3","NCCspr.NCCspr",0.435970820065991,88.55,48,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.b33","b3.b3",0.439491553236976,88.12,47,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.g33","d4.g3",0.455705559379074,87.68,46,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e2.f23","e2.f2",0.459214923100373,87.22,45,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.c13","d2.c1",0.459383750460536,86.76,44,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b23","c3.b2",0.50125352833858,86.3,43,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b13","c3.b1",0.521156479101297,85.8,42,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.b33","c2.b3",0.542669972122664,85.28,41,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.c33","d2.c3",0.549775421962362,84.74,40,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.b13","b1.b1",0.551691935071627,84.19,39,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.d33","c3.d3",0.606575775503006,83.64,38,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d13","c1.d1",0.609666856894984,83.03,37,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f13","d2.f1",0.618137773843341,82.42,36,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b33","b2.b3",0.649900170045962,81.8,35,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.c23","b3.c2",0.652228834049885,81.15,34,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.c13","d1.c1",0.6637158744698,80.5,33,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.d23","d2.d2",0.711880359060972,79.84,32,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.d13","d1.d1",0.737707244510096,79.13,31,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.f13","c1.f1",0.76880050003654,78.39,30,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.g13","d2.g1",0.797706496866372,77.62,29,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.b13","d3.b1",0.920050569416183,76.82,28,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.c33","c3.c3",0.956337988537562,75.9,27,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d23","c1.d2",0.977237680872801,74.95,26,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.b23","c2.b2",0.984080223246405,73.97,25,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.c33","b3.c3",1.04736250381325,72.98,24,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.d33","b1.d3",1.08127979954685,71.94,23,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f13","d1.f1",1.11276980819252,70.86,22,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b13","b2.b1",1.21852286961534,69.74,21,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.d33","d3.d3",1.24550947257248,68.52,20,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.d23","c3.d2",1.3952871110136,67.28,19,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b23","b2.b2",1.62549450701662,65.88,18,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c13","b2.c1",1.77843339709565,64.26,17,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.c23","c2.c2",1.85294018582294,62.48,16,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.b13","a1.b1",1.90817687400499,60.63,15,"black","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.a13","a1.a1",2.15159103761777,58.72,14,"black","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c23","b2.c2",2.2527823265412,56.57,13,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.f13","f1.f1",2.39553789680473,54.31,12,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.c13","d3.c1",2.59220955240858,51.92,11,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"g1.g13","g1.g1",2.62149604667034,49.33,10,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.g13","f1.g1",3.10820739596268,46.7,9,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c33","b2.c3",3.21760210358517,43.6,8,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.c33","b1.c3",3.60447936152127,40.38,7,"pink","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.c33","d3.c3",4.02584642338069,36.77,6,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.b23","a1.b2",5.50177472239973,32.75,5,"black","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.e13","b1.e1",5.76223878097315,27.25,4,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.f13","e1.f1",6.14224236356777,21.48,3,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f13","d3.f1",7.33373010888309,15.34,2,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.e13","e1.e1",8.00856006588948,8.01,1,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.b34","b3.b3",0.444526950603838,100,88,"pink","Spring","C10","5","null","H5.sim.null"
"b3.c34","b3.c3",0.459900354380587,99.56,87,"pink","Spring","C10","5","null","H5.sim.null"
"NCCfall.g34","NCCfall.g3",0.466858513569052,99.1,86,"pink","Spring","C10","5","null","H5.sim.null"
"b3.c24","b3.c2",0.478199522266012,98.63,85,"pink","Spring","C10","5","null","H5.sim.null"
"b2.c34","b2.c3",0.501397318565117,98.15,84,"pink","Spring","C10","5","null","H5.sim.null"
"a3.a34","a3.a3",0.508674213490632,97.65,83,"black","Spring","C10","5","null","H5.sim.null"
"b3.e34","b3.e3",0.526966977836066,97.14,82,"green","Spring","C10","5","null","H5.sim.null"
"g1.d23","g1.d2",0.528742851910699,96.61,81,"red","Spring","C10","5","null","H5.sim.null"
"NCCspr.g14","NCCspr.g1",0.529469671250957,96.08,80,"pink","Spring","C10","5","null","H5.sim.null"
